Title	Author	Star Rating	Review Count	Weeks on List
Not Perfect	Elizabeth LaBan	3.9	1638	1
Sing Unburied Sing	Jesmyn Ward	4.2		1
Tips for Living	Renée Shafransky	4.3	1988	1
The House at the Edge of Night	Catherine Banner	4.5		1
Dust	Patricia Cornwell	3.7	2821	1
Pretty Girls Dancing	Kylie Brant	4.4	2503	2
Flowers for Algernon	Daniel Keyes	4.7	1874	1
The Rooster Bar	John Grisham	3.8	5249	14
Killman Creek	Rachel Caine	4.7	2673	2
Twist of Faith	Ellen J. Green	4.1	2716	2
Iron Gold	Pierce Brown	4.4		1
City of Endless Night	Douglas Preston Lincoln Child	4.3	1101	1
The Black Book	James Patterson & David Ellis	4.6	2145	1
Forever My Girl	Heidi McLaughlin	4.5	1507	1
Ricochet Joe [Kindle in Motion]	Dean Koontz	3.8	1806	2
The Left Hand of Darkness	Ursula K. Le Guin	4.2		1
Ryan's Bed	Tijan	4.8	1156	1
16th Seduction	James Patterson & Maxine Paetro	4.5	2389	5
Artemis	Andy Weir		2843	11
Sex Not Love	Vi Keeland	4.7		2
Risky Business	Nora Roberts	4.3		1
Three Wishes	Liane Moriarty	4.2	2969	1
Beware the Past	Joy Ellis	4.5	1026	4
Dark in Death	J. D. Robb	4.5	1617	2
Midnight Blue	L.J. Shen	4.7	1698	3
Zero Hour	Craig Alanson	4.5		1
Night Moves	Jonathan Kellerman	4.3		1
Unraveled	Helen Hardt	4.6		1
Change of Fortune	Jana DeLeon	4.9		1
Milk and Honey	Rupi Kaur	4.6	6647	12
Agent in Place	Mark Greaney	4.6		1
The Last Tudor	Philippa Gregory	4.2		1
Gentleman Nine	Penelope Ward	4.5		1
Still Me	Jojo Moyes	4.7	1369	4
Silent Victim	Caroline Mitchell	4.5	2522	3
Public Secrets	Nora Roberts	4.5		1
Reflections of Yesterday	Debbie Macomber	4.2		1
One Last Time	Corinne Michaels	4.7		1
Silent Child	Sarah A. Denzil	4.3	5119	5
I've Loved You Since Forever	Hoda Kotb	4.7		1
The Escape Artist	Brad Meltzer	4.1		1
Burn Bright	Patricia Briggs	4.7	1027	1
The Man from St. Petersburg	Ken Follett	4.2		1
Charmed	Alexa Riley	4.4		1
Bone Music	Christopher Rice	4.3	1859	1
Not Quite Crazy	Catherine Bybee	4.7		2
Red Sparrow	Jason Matthews	4.4	3213	5
Shock Wave	Clive Cussler	4.5		1
Marlon Bundo's A Day in the Life of the Vice President	Charlotte Pence	4.5		1
Llama Llama Easter Egg	Anna Dewdney	4.5		1
The Secret Mother	Shalini Boland	4.4	1106	1
White Rose Black Forest	Eoin Dempsey	4.6	4403	8
The Return of Rafe MacKade	Nora Roberts	4.5		1
The Disappeared	C. J. Box	4.5		1
River's End	Nora Roberts	4.6		1
Trespassing	Brandi Reeds	4.6	2383	2
A Wrinkle in Time	Madeleine L'Engle	4.4	3046	13
A Day in the Life of Marlon Bundo	Jill Twiss Marlon Bundo & EG Keller	4.9	8675	4
Rock Chick Reborn	Kristen Ashley	4.7		1
Digging In	Loretta Nyhan	4.4	2215	5
Heat Lightning	John Sandford	4.5		1
Her Last Goodbye	Melinda Leigh	4.7	1724	3
Harvesting the Heart	Jodi Picoult	3.9		1
Vegas Baby	Amy Brent	3.6		1
The Key to Rebecca	Ken Follett	4.3		1
Wrapped In My Wife	Alexa Riley	4.5		1
Rebel Heir	Penelope Ward & Vi Keeland	4.5		1
True Fiction	Lee Goldberg	4.4	2861	7
The End Zone	L.J. Shen	4.4		1
P.S. I Hate You	Winter Renshaw	4.4		2
The Thief	J.R. Ward	4.7		1
Dirty Deeds	Lauren Landish	4.5		1
Birthday Girl	Penelope Douglas	4.6		1
Bones Don't Lie	Melinda Leigh	4.7	1549	6
Just One Look	Harlan Coben	4.3		1
After Anna	Lisa Scottoline	4.1	1046	2
The Last Thing She Ever Did	Gregg Olsen	4.2	1199	1
The Child Next Door	Shalini Boland			1
Accidentally Married	R.R. Banks	4.4		3
Only a Millionaire	J. S. Scott	4.6		1
It Ends With Her	Brianna Labuskes	4.2	1565	4
Because I Love You	Amy Brent	3.9		1
The Beach House	Mary Alice Monroe	4.6	2903	1
Giving Her My Baby	Alexa Riley	4.5		1
A Court of Frost and Starlight	Sarah J. Maas	3.9	1318	1
The Burning Maze	Rick Riordan	4.7		1
The Secret Book & Scone Society	Ellery Adams	4.5		1
Worth Dying For	Lee Child	4.5	2498	1
Twisted Prey	John Sandford	4.7	1802	4
The Hellfire Club	Jake Tapper			2
The Hardest Fall	Ella Maise	4.5		3
The Wife Between Us	Greer Hendricks & Sarah Pekkanen	4.2	2979	9
War Storm	Victoria Aveyard	3.8		1
I Dare You	Ilsa Madden-Mills	4.4		4
Girl Last Seen	Nina Laurin			1
When Never Comes	Barbara Davis	4.5	2470	7
The Alice Network	Kate Quinn	4.7	3279	2
Fall of Giants	Ken Follett	4.5	7566	1
The Mistake	K.L. Slater	4.1		1
The Red Ledger: 1	Meredith Wild			1
The 17th Suspect	James Patterson & Maxine Paetro	4.4	1293	4
Sheltered	Alexa Riley	4.5		2
Marriage of Inconvenience	Debbie Macomber	4.1		1
Buried Prey	John Sandford	4.6		1
Lies That Bind Us	Andrew Hart	4.1	2150	4
The Butterfly Garden	Dot Hutchison	4.3	16094	1
The Heart of Devin MacKade	Nora Roberts	4.6		1
The Hideaway	Lauren K. Denton	4.5	3228	9
Brief Cases	Jim Butcher	4.7		1
After the Funeral	Agatha Christie	4.5		1
Pretty Girl	Alexa Riley	4.6		1
Before the Storm	Christie Golden	4.2		1
The Perfect Mother	Aimee Molloy	3.8		1
The Death of Mrs. Westaway	Ruth Ware	4.1		2
Matchmaking for Beginners	Maddie Dawson	4.6	3649	7
Just Me and My Dad	Mercer Mayer	4.8	1179	1
Tom Clancy Line of Sight	Mike Maden	3.7		1
The Fallen	David Baldacci	4.6	2668	11
My Sister's Grave	Robert Dugoni	4.4	15581	1
Now You See Her	James Patterson Michael Ledwidge	4.4		1
Flood Tide	Clive Cussler	4.6		1
Shelter in Place	Nora Roberts	4.7	1746	4
A Merciful Silence	Kendra Elliot	4.8		1
White Lace and Promises	Debbie Macomber	4.1		1
Takeoff	Joseph Reid	4.3	1911	2
Children of Blood and Bone	Tomi Adeyemi	4.7	2122	2
The Thinnest Air	Minka Kent	4.1	2396	6
Jurassic Park	Michael Crichton	4.6	2053	1
Andrea Vernon and the Corporation for UltraHuman Protection	Alexander C. Kane	4.5		1
Single Malt Murder	Melinda Mullet	4.3		1
When Life Gives You Lululemons	Lauren Weisberger	4.2		3
The Perfect Couple	Elin Hilderbrand	4.2	1036	5
All We Ever Wanted	Emily Giffin	4.1	1175	4
Spymaster	Brad Thor	4.6		3
What If Everybody Said That?	Ellen Javernick & Colleen Madden	4.2		1
Snow Crash	Neal Stephenson	4.1	1624	1
Thrawn: Alliances	Timothy Zahn	4.3		1
Pachinko	Min Jin Lee	4.5	2724	1
Gracie's Secret	Jill Childs	3.9		6
The Naked Truth	Vi Keeland	4.5		1
The King Tides	James Swain	4.3	1896	4
Still Not Over You	Nicole Snow	4.3		1
Reel of Fortune	Jana DeLeon	4.9		1
Paradox	Catherine Coulter	4.7		1
Something in the Water	Catherine Steadman	3.8	1262	10
His Banana	Penelope Bloom	4.5	1197	3
I Will Never Leave You	S. M. Thayer	3.5	1469	2
1984	George Orwell	4.4	4385	3
Nanny and the Beast	Georgia Le Carre	4.4		1
Invisible	David Ellis & James Patterson	4.4	3038	1
Less	Andrew Sean Greer	3.7	1676	6
What Alice Forgot	Liane Moriarty	4.4	8746	1
The Sometimes Sisters	Carolyn Brown	4.4	1822	1
The Outsider	Stephen King	4.4	4188	14
Whisper Me This	Kerry Anne King	4.5	2845	7
The Hunt for Red October	Tom Clancy	4.6	1065	1
Small Great Things	Jodi Picoult	4.7	8439	1
Year One	Nora Roberts	4.5	3473	6
Pieces of Her	Karin Slaughter	3.7		1
Texas Ranger	James Patterson	3.9		2
Her Mother's Grave	Lisa Regan	4.8		1
Crew	Tijan	4.4		1
P.S. I Still Love You	Jenny Han	4.7		2
Two Weeks Notice	Whitney G.	4.4	1227	6
Magic Triumphs	Ilona Andrews	4.8		1
Always and Forever Lara Jean	Jenny Han	4.6		2
Not So Nice Guy	R.S. Grey	4.6		3
The Affair	Lee Child	4.5	2735	1
The Extraordinary Life of Sam Hell	Robert Dugoni	4.7	3469	1
Heart-Shaped Box	Joe Hill	4.3	2022	1
To All the Boys I've Loved Before	Jenny Han	4.6	1275	3
We Were Mothers	Katie Sise	4.1		1
Down the River unto the Sea	Walter Mosley	4.3		1
Tailspin	Sandra Brown	4.3		2
Leverage in Death	J. D. Robb	4.8	1434	2
Dog Man	Dav Pilkey	4.9		3
A Simple Favor	Darcey Bell	3.3		1
Sharp Objects	Gillian Flynn	4.2	7811	11
Shadow Tyrants	Boyd Morrison & Clive Cussler	4.6		1
Dirty Headlines	LJ Shen	4.7	1247	3
Time's Convert	Deborah Harkness	4.3		1
Night over Water	Ken Follett	4.2		1
Her Cherry	Penelope Bloom	4.6	1219	4
Rich People Problems	Kevin Kwan	4.6	1204	6
Mavericks	Craig Alanson	4.6		1
A Case of Need	Michael Crichton	3.9	1975	7
Transcription	Kate Atkinson	3.4		1
Differently Morphous	Yahtzee Crowshaw	4.4		1
China Rich Girlfriend	Kevin Kwan	4.4	1579	8
PROM KING	Penny Wylder	4.1		2
The Cuckoo's Calling	Robert Galbraith	4.1	10721	1
The Song of Achilles	Madeline Miller	4.4	2689	2
A Nordic King	Karina Halle	4.6		2
Juror #3	James Patterson	4.2		4
What I've Done	Melinda Leigh	4.7	1031	3
River Bodies	Karen Katchur	4.2		1
The Ragged Edge of Night	Olivia Hawker	4.5	3466	3
The Christmas Scorpion	Lee Child	3.2		2
Two Kinds of Truth	Michael Connelly	4.7	3176	8
The Next Person You Meet in Heaven	Mitch Albom	4.6		1
Ambush	James Patterson & James O. Born	4.3		1
Red War	Kyle Mills & Vince Flynn	4.2		3
Bitten by the Beast	Alexa Riley	4.4		1
Crazy Rich Asians	Kevin Kwan	4.2	3755	15
Steelheart	Brandon Sanderson	4.5	2209	1
What Have You Done	Matthew Farrell	4.3	2762	7
The Story of Arthur Truluv	Elizabeth Berg	4.7		1
Nora Roberts Mystery Box Set	Nora Roberts	4.1		1
Lethal White	Robert Galbraith	4.5	1591	6
Kingdom of Ash	Sarah J. Maas	4.8	1817	2
Denim and Diamonds	Debbie Macomber	4.5		1
Ensnared	J. S. Scott	4.3		2
The Haunting of Hill House	Shirley Jackson	3.9	1203	1
The Girl With All the Gifts	M. R. Carey	4.3	2804	1
Holy Ghost	John Sandford	4.5	1325	3
His Treat	Penelope Bloom	4.5		1
A Spark of Light	Jodi Picoult	3.3	1385	4
The President Is Missing	Bill Clinton & James Patterson	4.3	6665	17
Unsheltered	Barbara Kingsolver	3.7		2
The Witch Elm	Tana French	3.4		3
The Lion the Witch and the Wardrobe	C.S. Lewis	4.7	1856	2
Lullaby	Jonathan Maberry	4.3		1
Oathbringer	Brandon Sanderson	4.6	2459	6
Prey	Michael Crichton	4.1	1270	1
A Bone to Pick	Melinda Leigh	4.5		1
No Country for Old Men	Cormac McCarthy	4.4	1012	1
Judge	Alexa Riley	3.9		1
Winter's Bone	Daniel Woodrell	4.3		1
The Retreat	Mark Edwards	4.4		1
Elevation	Stephen King	3.8	1747	2
Turkey Trouble	Wendi Silvano & Lee Harper	4.7		1
P Is for Pterodactyl	Chris Carpenter &  Raj Haldar	4.6		1
Close to the Bone	Kendra Elliot	4.3		4
Chasing Shadows	Catherine Bybee	4.7		1
The Cutting Edge	Jeffery Deaver	4.3		1
Hungry For More	Alexa Riley	4.5		1
The Hate U Give	Angie Thomas	4.8	3596	12
Origin	Dan Brown	4.2	9851	27
The Alchemist	Paulo Coelho	4.6	12560	2
The Great Alone	Kristin Hannah	4.6	7163	23
Outlander	Diana Gabaldon	4.6	19762	2
The Crimes of Grindelwald	J.K. Rowling	4.5		3
Queen of Air and Darkness	Cassandra Clare	4.4		1
How the Grinch Stole Christmas	Dr. Seuss	4.8		1
Kingdom of the Blind	Louise Penny	4.7	1354	2
Of Blood and Bone	Nora Roberts	4.7	1305	2
Dragons Love Tacos	Adam Rubin & Daniel Salmieri	4.5	2451	1
The Wonderful Things You Will Be	Emily Winfield Martin	4.8	2135	1
The Name of the Wind	Patrick Rothfuss	4.6	7963	1
Dark Sacred Night	Michael Connelly	4.5	2339	8
Past Tense	Lee Child	3.9	3713	8
The Meltdown	Jeff Kinney	4.8		7
Every Breath	Nicholas Sparks	4.7	2060	11
A Steep Price	Robert Dugoni	4.7	1314	3
Long Road to Mercy	David Baldacci	4.1	2281	8
Target	James Patterson	4.5		6
A Christmas Carol	Charles Dickens	4.6	2792	1
Ready Player One	Ernest Cline	4.6	19096	38
His Package	Penelope Bloom	4.6		2
The House With a Clock In Its Walls	John Bellairs	4.3		1
Hate Notes	Penelope Ward & Vi Keeland	4.6	3429	9
Verses for the Dead	Douglas Preston & Lincoln Child	4.3		1
True Places	Sonja Yoerg	4.4	1803	4
Sherlock Holmes	Arthur Conan Doyle & Stephen Fry	4.5		2
The Call of the Wild	Jack London	4.4	2797	1
One Day in December	Josie Silver	4.2		6
The Woman in the Window	A. J. Finn	4.3	6179	15
Say You're Sorry	Melinda Leigh	4.4	6165	22
Holding	Graham Norton	4.3		1
The New Iberia Blues	James Lee Burke	4.5		1
Bird Box	Josh Malerman	4.4	2455	3
Turning Point	Danielle Steel	4.3		1
No Second Chance	Harlan Coben	4.6		1
